"","都道府県名","所在地","標高","水源種別","利用目的","井戸深度","採水標高","気温","水温","湧出量","水質(外観臭味)","pH","toukei","hokui"
"1","兵庫","たもと石",NA,"不明","温泉・鉱泉",NA,NA,NA,58,NA,NA,6.6,135.252222222222,34.7936111111111
"2","兵庫","池尻",NA,"不明","温泉・鉱泉",NA,NA,NA,62,NA,NA,6.6,135.252222222222,34.7936111111111
"3","兵庫","天神",NA,"不明","温泉・鉱泉",NA,NA,NA,77.5,NA,NA,6.2,135.252222222222,34.7936111111111
"4","兵庫","有明1号",NA,"井戸","温泉・鉱泉",NA,NA,NA,87.5,NA,NA,6.5,135.252222222222,34.7936111111111
"5","兵庫","有明2号",NA,"井戸","温泉・鉱泉",NA,NA,NA,83.5,NA,NA,6.3,135.252222222222,34.7936111111111
"6","兵庫","妬",NA,"不明","温泉・鉱泉",NA,NA,NA,90.5,NA,NA,6.4,135.252222222222,34.7936111111111
"7","兵庫","御所",NA,"不明","温泉・鉱泉",NA,NA,NA,92,NA,NA,6.5,135.252222222222,34.7936111111111
"8","兵庫","本温泉",NA,"不明","温泉・鉱泉",NA,NA,NA,54,NA,NA,6.1,135.252222222222,34.7936111111111
"9","兵庫","極泉",NA,"不明","温泉・鉱泉",NA,NA,NA,94,NA,NA,6.5,135.252222222222,34.7936111111111
"10","兵庫","月光園",NA,"不明","温泉・鉱泉",NA,NA,NA,48,NA,NA,6.5,135.252222222222,34.7936111111111
"11","兵庫","ラヂウム泉",NA,"不明","温泉・鉱泉",NA,NA,NA,27,NA,NA,6.8,135.252222222222,34.7936111111111
"12","兵庫","炭酸ホテル",NA,"不明","温泉・鉱泉",NA,NA,NA,17,NA,NA,4.7,135.252222222222,34.7936111111111
"13","兵庫","栄炭酸泉",NA,"不明","温泉・鉱泉",NA,NA,NA,20,NA,NA,5.1,135.252222222222,34.7936111111111
"14","兵庫","栄鉱泉",NA,"不明","温泉・鉱泉",NA,NA,NA,16,NA,NA,5.1,135.252222222222,34.7936111111111
"15","兵庫","古泉閣",NA,"不明","温泉・鉱泉",NA,NA,NA,15.5,NA,NA,5.1,135.252222222222,34.7936111111111
"16","兵庫","国鉄寮源泉",NA,"不明","温泉・鉱泉",NA,NA,NA,16,NA,NA,5.9,135.252222222222,34.7936111111111
"17","兵庫","森下仁丹寮",NA,"不明","温泉・鉱泉",NA,NA,NA,16.5,NA,NA,5.3,135.252222222222,34.7936111111111
"18","兵庫","ダイハツ寮",NA,"不明","温泉・鉱泉",NA,NA,NA,13,NA,NA,5.3,135.252222222222,34.7936111111111
"19","兵庫","杉鉱泉",NA,"不明","温泉・鉱泉",NA,NA,NA,16,NA,NA,4.4,135.252222222222,34.7936111111111
"20","兵庫","月光園炭酸泉",NA,"不明","温泉・鉱泉",NA,NA,NA,16,NA,NA,6.7,135.252222222222,34.7936111111111
"21","兵庫","五社温泉",NA,"不明","温泉・鉱泉",NA,NA,NA,33,NA,NA,6.4,135.252222222222,34.7936111111111
"22","兵庫","天神湯",NA,"井戸","温泉・鉱泉","200.0",NA,NA,88,"10.0","無透，酸",6.7,135.252222222222,34.7936111111111
"23","兵庫","妬湯",NA,"井戸","温泉・鉱泉","250.0",NA,NA,96,"10.0","無透，酸",6.8,135.252222222222,34.7936111111111
"24","兵庫","宝塚市",NA,"井戸","温泉・鉱泉","82.0",NA,NA,21,"26.0","無透．酸",6.6,135.342222222222,34.8025
"25","兵庫","川西市石道",NA,"井戸","温泉・鉱泉","65.0",NA,NA,15.8,"80.0","無透．酸",5.9,135.425555555556,34.8677777777778
"26","兵庫","天神",NA,"湧泉","温泉・鉱泉",NA,NA,NA,98,NA,NA,5.3,135.252222222222,34.7936111111111
"27","兵庫","極楽",NA,"湧泉","温泉・鉱泉",NA,NA,NA,98,NA,NA,5.4,135.252222222222,34.7936111111111
"28","兵庫","有明",NA,"湧泉","温泉・鉱泉",NA,NA,NA,98,NA,NA,4.8,135.252222222222,34.7936111111111
"29","兵庫","妬",NA,"湧泉","温泉・鉱泉",NA,NA,NA,98,NA,NA,5.8,135.252222222222,34.7936111111111
"30","兵庫","たもと石",NA,"湧泉","温泉・鉱泉",NA,NA,NA,61,NA,NA,6.4,135.252222222222,34.7936111111111
"31","兵庫","温泉会館",NA,"湧泉","温泉・鉱泉",NA,NA,NA,51,NA,NA,6.4,135.252222222222,34.7936111111111
"32","兵庫","月光園",NA,"湧泉","温泉・鉱泉",NA,NA,NA,30,NA,NA,6.4,135.252222222222,34.7936111111111
"33","兵庫",NA,NA,"湧泉","温泉・鉱泉",NA,NA,NA,20,NA,NA,6,135.342222222222,34.8025
"34","兵庫","Ｔｅｎｊｉｎ",NA,"井戸","温泉・鉱泉",NA,NA,NA,98.2,NA,NA,6.4,135.252222222222,34.7936111111111
"35","兵庫","Ａｒｉａｋｅ１",NA,"井戸","温泉・鉱泉",NA,NA,NA,96.2,NA,NA,6.6,135.252222222222,34.7936111111111
"36","兵庫","Ａｒｉａｋｅ２",NA,"井戸","温泉・鉱泉",NA,NA,NA,97,NA,NA,6.8,135.252222222222,34.7936111111111
"37","兵庫","Ｕｗａｎａｒｉ",NA,"井戸","温泉・鉱泉",NA,NA,NA,86.5,NA,NA,6.8,135.252222222222,34.7936111111111
"38","兵庫","Ｇｏｓｈｏ",NA,"井戸","温泉・鉱泉",NA,NA,NA,86.8,NA,NA,6.8,135.252222222222,34.7936111111111
"39","兵庫","Ｇｏｋｕｒａｋｕ",NA,"井戸","温泉・鉱泉",NA,NA,NA,78.5,NA,NA,6.8,135.252222222222,34.7936111111111
"40","兵庫","Ｇｒａｎｄ　Ｈ．",NA,"井戸","温泉・鉱泉",NA,NA,NA,17.2,NA,NA,5.8,135.252222222222,34.7936111111111
"41","兵庫","Ｒｙｕｓｅｎｋａｋｕ",NA,"井戸","温泉・鉱泉",NA,NA,NA,21.5,NA,NA,7,135.252222222222,34.7936111111111
"42","兵庫","Ｇｉｎｓｅｎ",NA,"井戸","温泉・鉱泉",NA,NA,NA,46.5,NA,NA,5.6,135.252222222222,34.7936111111111
"43","兵庫",NA,NA,"井戸","温泉・鉱泉",NA,NA,NA,17.3,NA,NA,6.4,135.306944444444,34.8044444444444
"44","兵庫",NA,NA,"湧泉","温泉・鉱泉",NA,NA,NA,24.7,NA,NA,6.3,135.425555555556,34.8677777777778
"45","兵庫",NA,NA,"井戸","温泉・鉱泉",NA,NA,NA,15.1,NA,NA,6.2,135.443055555556,34.9475
"46","兵庫",NA,NA,"井戸","温泉・鉱泉","200.0",NA,NA,18.1,NA,NA,7.44,134.686944444444,34.2788888888889
"47","兵庫",NA,NA,"井戸","温泉・鉱泉","151.0",NA,NA,20.2,NA,NA,6.32,134.704444444444,34.2427777777778
"48","兵庫",NA,NA,"井戸","温泉・鉱泉","1000.0",NA,NA,32.1,NA,NA,7.49,134.7175,34.2608333333333
"49","兵庫",NA,NA,"井戸","温泉・鉱泉","300.0",NA,NA,24.6,NA,NA,9.06,134.8325,34.3225
"50","兵庫",NA,NA,"湧水","温泉・鉱泉",NA,NA,NA,13,NA,NA,5,134.8675,34.3188888888889
"51","兵庫",NA,NA,"井戸","温泉・鉱泉","1205.0",NA,NA,28,NA,NA,7.85,134.884722222222,34.4602777777778
"52","兵庫",NA,NA,"井戸","温泉・鉱泉","1301.0",NA,NA,37,NA,NA,8.44,134.889166666667,34.3277777777778
"53","兵庫",NA,NA,"井戸","温泉・鉱泉","400.0",NA,NA,19.7,NA,NA,7.4,134.897777777778,34.3405555555556
"54","兵庫",NA,NA,"井戸","温泉・鉱泉","400.0",NA,NA,20,NA,NA,8,134.897777777778,34.3405555555556
"55","兵庫",NA,NA,"湧水","温泉・鉱泉",NA,NA,NA,19,NA,NA,6.9,134.913055555556,34.3313888888889
"56","兵庫",NA,NA,"井戸","温泉・鉱泉","104.0",NA,NA,16.2,NA,NA,6.57,134.969166666667,34.5777777777778
"57","兵庫",NA,NA,"井戸","温泉・鉱泉","200.0",NA,NA,19.2,NA,NA,6.7,134.993333333333,34.5930555555556
"58","兵庫",NA,NA,"井戸","温泉・鉱泉","1200.0",NA,NA,26.5,NA,NA,7.35,134.993611111111,34.5525
"59","兵庫",NA,NA,"井戸","温泉・鉱泉","1165.0",NA,NA,34.1,NA,NA,7.56,135.016666666667,34.5761111111111
"60","兵庫",NA,NA,"井戸","温泉・鉱泉","350.0",NA,NA,20.3,NA,NA,7.46,135.024166666667,34.5652777777778
"61","山口",NA,NA,"不明","温泉・鉱泉",NA,NA,NA,41,NA,NA,9.3,131.177777777778,34.325
"62","山口",NA,NA,"不明","温泉・鉱泉",NA,NA,NA,37,NA,NA,9.4,131.105555555556,34.2861111111111
"63","山口",NA,NA,"不明","温泉・鉱泉",NA,NA,NA,41,NA,NA,7.3,130.944444444444,34.1361111111111
"64","山口",NA,NA,"井戸","温泉・鉱泉","3.6",NA,11.8,25.8,"49.3",NA,7.93,131.271736111111,34.0289805555555
"65","山口",NA,NA,"井戸","温泉・鉱泉","300",NA,11.8,35,"59.5",NA,8.89,131.271738888889,34.0289833333333
"66","山口",NA,NA,"井戸","温泉・鉱泉","250",NA,11.8,40.1,"83.6",NA,8.91,131.271741666667,34.0289861111111
"67","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,25.5,26.5,"58.7",NA,8.02,131.271736111111,34.0289805555555
"68","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,29.1,26.5,"61.6",NA,8.1,131.271736111111,34.0289805555555
"69","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,22.5,26.1,"54.5",NA,7.8,131.271736111111,34.0289805555555
"70","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,11.1,26.1,"測定不能",NA,8,131.271736111111,34.0289805555555
"71","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,19,26,"46.2",NA,8.2,131.271736111111,34.0289805555555
"72","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,11.1,26.1,"79.5",NA,8.2,131.271736111111,34.0289805555555
"73","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,26.1,26.5,"79.5",NA,8,131.271736111111,34.0289805555555
"74","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,29.8,26.9,"76.3",NA,8.2,131.271736111111,34.0289805555555
"75","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,26.4,26.7,"73.4",NA,8.2,131.271736111111,34.0289805555555
"76","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,9.9,26.1,"76.3",NA,8.21,131.271736111111,34.0289805555555
"77","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,14.1,26,"44.0",NA,8.11,131.271736111111,34.0289805555555
"78","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,19.7,26.2,"73.4",NA,8.28,131.271736111111,34.0289805555555
"79","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,25.2,26.4,"59.6",NA,8.12,131.271736111111,34.0289805555555
"80","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,33,26.5,"63.6",NA,8.21,131.271736111111,34.0289805555555
"81","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,26.6,26.2,"68.1",NA,8.1,131.271736111111,34.0289805555555
"82","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,8.5,26,"41.5",NA,8.3,131.271736111111,34.0289805555555
"83","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,11,25.9,"38.2",NA,8.1,131.271736111111,34.0289805555555
"84","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,17.8,26.2,"40.0",NA,8.08,131.271736111111,34.0289805555555
"85","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,23,26.1,"50.3",NA,8.14,131.271736111111,34.0289805555555
"86","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,34.8,26.3,"52.7",NA,7.78,131.271736111111,34.0289805555555
"87","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,23.1,26.1,"43.7",NA,8.08,131.271736111111,34.0289805555555
"88","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,17.3,26,"41.1",NA,8.07,131.271736111111,34.0289805555555
"89","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,7.5,25.6,"32.5",NA,8.1,131.271736111111,34.0289805555555
"90","山口",NA,NA,"不明","温泉・鉱泉","3.6",NA,11.8,25.8,"49.3",NA,7.93,131.271736111111,34.0289805555555
"91","山口",NA,NA,"不明","温泉・鉱泉","300",NA,25.5,37.6,"測定不能",NA,8.92,131.271738888889,34.0289833333333
"92","山口",NA,NA,"不明","温泉・鉱泉","300",NA,29.1,37.9,"測定不能",NA,8.98,131.271738888889,34.0289833333333
"93","山口",NA,NA,"不明","温泉・鉱泉","300",NA,22.5,37.2,"測定不能",NA,8.99,131.271738888889,34.0289833333333
"94","山口",NA,NA,"不明","温泉・鉱泉","300",NA,11.1,37.3,"測定不能",NA,9.02,131.271738888889,34.0289833333333
"95","山口",NA,NA,"不明","温泉・鉱泉","300",NA,19,37.2,"48.3",NA,8.9,131.271738888889,34.0289833333333
"96","山口",NA,NA,"不明","温泉・鉱泉","300",NA,11.1,37.2,"51.6",NA,9.06,131.271738888889,34.0289833333333
"97","山口",NA,NA,"不明","温泉・鉱泉","300",NA,26.1,37,"63.6",NA,8.98,131.271738888889,34.0289833333333
"98","山口",NA,NA,"不明","温泉・鉱泉","300",NA,29.8,37.5,"63.6",NA,9.08,131.271738888889,34.0289833333333
"99","山口",NA,NA,"不明","温泉・鉱泉","300",NA,26.4,37.4,"67.2",NA,9.11,131.271738888889,34.0289833333333
"100","山口",NA,NA,"不明","温泉・鉱泉","300",NA,9.9,37,"68.1",NA,9.2,131.271738888889,34.0289833333333
"101","山口",NA,NA,"不明","温泉・鉱泉","300",NA,14.1,36.4,"42.4",NA,9.21,131.271738888889,34.0289833333333
"102","山口",NA,NA,"不明","温泉・鉱泉","300",NA,19.7,35.7,"20.3",NA,9.12,131.271738888889,34.0289833333333
"103","山口",NA,NA,"不明","温泉・鉱泉","300",NA,25.2,37.1,"59.6",NA,9.19,131.271738888889,34.0289833333333
